Actual Spotify Name,Spotify URL,Spotify ID
"Hip-Hop, Dusty","https://open.spotify.com/playlist/2ogFcAiym0RFZcCBeZjt15","2ogFcAiym0RFZcCBeZjt15"
"Hip-Hop, Hard Beats","https://open.spotify.com/playlist/7o2cxVKUaI9AZGWZRkL9tU","7o2cxVKUaI9AZGWZRkL9tU"
"Hip-Hop, Instrumentals","https://open.spotify.com/playlist/0ncTGb5nYCSgaOUkd1x712","0ncTGb5nYCSgaOUkd1x712"
"Hip-Hop, Melancholy","https://open.spotify.com/playlist/4t1W7mhETrnjU2Pf80xwrw","4t1W7mhETrnjU2Pf80xwrw"
"Hip-Hop, Neo-Soul","https://open.spotify.com/playlist/6ytlQprNhQfq9ffoRfRQd8","6ytlQprNhQfq9ffoRfRQd8"
"House, Ambient","https://open.spotify.com/playlist/6mgF0aptvQFOXqzhQUd5as","6mgF0aptvQFOXqzhQUd5as"
"House, Classic","https://open.spotify.com/playlist/4ajFPfYGS3qWNBqayn657a","4ajFPfYGS3qWNBqayn657a"
"House, Melodic","https://open.spotify.com/playlist/29wlJpS2YVtkhrfZhVJnS6","29wlJpS2YVtkhrfZhVJnS6"
"House, Deep","https://open.spotify.com/playlist/6TlFQBfaT09Wn2KQJwLS8Y","6TlFQBfaT09Wn2KQJwLS8Y"
"House, Dusty","https://open.spotify.com/playlist/4mvVlZQtTUyjZrp861cA5E","4mvVlZQtTUyjZrp861cA5E"
"Ida","https://open.spotify.com/playlist/6NxExdlX7s1guOiOV113vS","6NxExdlX7s1guOiOV113vS"
"IDM, Sweet Melodic","https://open.spotify.com/playlist/2xFyXwFri0tdL8nxpgOC9q","2xFyXwFri0tdL8nxpgOC9q"
"Italo, Classic","https://open.spotify.com/playlist/5glbvGn5xSIdz9YrJOGsB8","5glbvGn5xSIdz9YrJOGsB8"
"Jamaica, Laidback Reggae","https://open.spotify.com/playlist/0xZOcwDqdlXIlPMJ9s1Hpn","0xZOcwDqdlXIlPMJ9s1Hpn"
"Jamaica, Lovers Rock","https://open.spotify.com/playlist/2FpnkcZ4t7bk2U2ZOwBFo1","2FpnkcZ4t7bk2U2ZOwBFo1"
"Jamaica, Vintage Pop","https://open.spotify.com/playlist/6qvYFMl5Oi20xDwp3NI2m1","6qvYFMl5Oi20xDwp3NI2m1"
"Jazz, Cool","https://open.spotify.com/playlist/6JamVsgQovLlEJpeRSZNm0","6JamVsgQovLlEJpeRSZNm0"
"Jazz, Funk","https://open.spotify.com/playlist/0HxkDTZ7Rn6MPc1cxW5Ebo","0HxkDTZ7Rn6MPc1cxW5Ebo"
"Joel Vandroogenbroeck","https://open.spotify.com/playlist/1BMah5LPTWE3neS65MAPuw","1BMah5LPTWE3neS65MAPuw"
"Juan Atkins","https://open.spotify.com/playlist/7Ga6hmUrgNYSTjv9QB0AkN","7Ga6hmUrgNYSTjv9QB0AkN"
"Kaitlyn Aurelia Smith","https://open.spotify.com/playlist/0KgOIkKdusJaNacdLIiTLq","0KgOIkKdusJaNacdLIiTLq"
"Kizomba","https://open.spotify.com/playlist/4GaYoCJDi3Qhe98OpfbjSB","4GaYoCJDi3Qhe98OpfbjSB"
